Consumer,Hour,Mean,Std
B11000954,16,33.032786885245905,3.7107164838390116
B11000954,17,32.721311475409834,3.2498733773113133
B11000954,18,34.32786885245902,3.5191341682686286
B11000954,19,36.967213114754095,3.328797415474638
B11000954,20,38.24590163934426,3.232294711977743
B11000954,21,37.77049180327869,3.1591316643792533
B11000954,22,37.14754098360656,2.9411499121427647
B11000954,23,36.78688524590164,2.661903387159121
B11000954,24,36.704918032786885,3.3988631768461524
B11000955,1,27.78688524590164,3.6803187410891227
B11000955,2,19.131147540983605,2.7189403060875983
B11000955,3,17.57377049180328,2.813661149122276
B11000955,4,17.147540983606557,3.1717816556741676
B11000955,5,16.80327868852459,3.187165203921316
B11000955,6,16.278688524590162,3.635576250537853
B11000955,7,16.24590163934426,3.6108022708956953
B11000955,8,15.62295081967213,3.0737595628221004
B11000955,9,16.491803278688526,2.8378180883002933
B11000955,10,24.81967213114754,3.0862370143745372
B11000955,11,28.295081967213115,3.66348513767111
B11000955,12,29.75409836065574,3.722575072534206
B11000955,13,31.491803278688526,3.514013868711597
B11000955,14,30.21311475409836,3.516307461977602
B11000955,15,28.950819672131146,3.3799128396376488
B11000955,16,27.885245901639344,3.0195991518565903
B11000955,17,28.18032786885246,2.9000180707255607
B11000955,18,29.672131147540984,3.3716334100333007
B11000955,19,34.0,3.440358349615704
B11000955,20,35.278688524590166,3.417079318206924
B11000955,21,35.049180327868854,3.0751581567121606
B11000955,22,34.278688524590166,2.7706373033866223
B11000955,23,33.14754098360656,2.622950819672131
B11000955,24,33.14754098360656,2.9799112406947135
B11000956,1,27.262295081967213,4.630269755779601
B11000956,2,16.770491803278688,2.106924124482478
B11000956,3,15.327868852459016,2.4742696320952007
B11000956,4,14.868852459016393,2.286635511365599
B11000956,5,14.639344262295081,3.6079728965815523
B11000956,6,14.754098360655737,3.0442406666074917
B11000956,7,15.147540983606557,2.946718461431851
B11000956,8,15.836065573770492,1.9517149068619868
B11000956,9,19.491803278688526,4.355599188305735
B11000956,10,31.524590163934427,5.535597343267346
B11000956,11,33.85245901639344,4.382663557116576
